ID	Z_meta	P_meta	Direction	HetISq	HetPVal	FDR_meta	TargetFullName	Target	EntrezGeneSymbol	MODEL_AFA	Rsq_AFA	Z_AFA	P_AFA	FDR_AFA	MODEL_CHN	Rsq_CHN	Z_CHN	P_CHN	FDR_CHN	MODEL_CAU	Rsq_CAU	Z_CAU	P_CAU	FDR_CAU	MODEL_HIS	Rsq_HIS	Z_HIS	P_HIS	FDR_HIS
seq.19213.1	-1.115	0.2649	-+-+	41.4	0.1631	0.582449649259548	Serine protease inhibitor Kazal-type 4	ISK4	SPINK4	blup	0.064	-0.91	0.363	0.945287539936102	lasso	0.054	1.31	0.191	0.831202702702703	enet	0.08	-1.67	0.094	0.274695014662757	enet	0.11	1.01	0.312	0.921247563352827
seq.22391.34	-1.112	0.266	?-??	0	1	0.58441277258567	Histone deacetylase complex subunit SAP30L	SP30L	SAP30L	NA	NA	NA	NA	NA	top1	0.03	-1.11	0.266	0.859384615384615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.7909.37	1.11	0.267	??+?	0	1	0.586153307392996	Sex hormone-binding globulin	SHBG	SHBG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.019	1.11	0.267	0.528957256461233	NA	NA	NA	NA	NA
seq.7190.50	-1.109	0.2673	+---	59.4	0.06034	0.586355598755832	Ephrin type-A receptor 4	EPHA4	EPHA4	blup	0.08	2.19	0.0286	0.503206666666667	blup	0.13	-0.148	0.882	0.986247440273038	lasso	0.14	-1.77	0.0766	0.241489889415482	top1	0.079	-0.822	0.411	0.949429477020602
seq.9848.22	1.108	0.268	???+	0	1	0.587143841982959	Cyclin-H	Cyclin H	CCNH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.064	1.11	0.268	0.919802469135803
seq.24942.22	-1.107	0.2681	?--?	0	0.343	0.587143841982959	Protein unc-13 homolog D	UN13D	UNC13D	NA	NA	NA	NA	NA	enet	0.029	-1.28	0.2	0.831202702702703	blup	0.02	-0.694	0.487	0.704771014492754	NA	NA	NA	NA	NA
seq.5456.59	-1.107	0.2683	----	0	0.941	0.587143841982959	Beta-Ala-His dipeptidase	CNDP1	CNDP1	blup	0.078	-0.649	0.516	0.966509207365893	top1	0.05	-0.295	0.768	0.985826347305389	enet	0.18	-0.79	0.43	0.654190839694657	lasso	0.19	-0.701	0.484	0.953709468223087
seq.2973.15	1.106	0.2685	-?+-	0	0.7117	0.587143841982959	Platelet glycoprotein 4	CD36 ANTIGEN	CD36	lasso	0.35	-0.252	0.801	0.968118384401114	NA	NA	NA	NA	NA	lasso	0.14	1.33	0.184	0.424926998841251	enet	0.11	-0.275	0.783	0.989177168272795
seq.18308.30	1.106	0.2687	??+-	0	0.443	0.587143841982959	Syntaxin-binding protein 6	STXB6	STXBP6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.15	1.24	0.216	0.466400866738895	lasso	0.15	-0.529	0.596	0.981563981042654
seq.20590.13	-1.105	0.269	??-?	0	1	0.587344427244582	Neuropeptide Y	NPY	NPY	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.13	-1.11	0.269	0.531862103174603	NA	NA	NA	NA	NA
seq.21891.31	1.103	0.2699	+-++	0	0.8565	0.587492660550459	Fibulin-7	FBLN7	FBLN7	enet	0.14	0.209	0.835	0.968118384401114	blup	0.071	-0.19	0.849	0.986247440273038	enet	0.12	1.09	0.277	0.542832841691249	enet	0.12	0.853	0.394	0.949429477020602
seq.21696.80	1.103	0.27	+-+-	0	0.401	0.587492660550459	Leucine-rich repeat and fibronectin type-III domain-containing protein 4	LRFN4	LRFN4	enet	0.062	1.37	0.17	0.779825581395349	lasso	0.19	-0.943	0.346	0.906650306748466	lasso	0.25	1.18	0.24	0.497731529656608	lasso	0.21	-0.0716	0.943	0.989177168272795
seq.13575.40	1.102	0.2703	+-++	0	0.8905	0.587492660550459	Segment polarity protein dishevelled homolog DVL-2	DVL2	DVL2	top1	0.12	0.117	0.907	0.973545762711864	lasso	0.099	-0.295	0.768	0.985826347305389	top1	0.09	1.24	0.216	0.466400866738895	enet	0.095	0.458	0.647	0.989177168272795
seq.11134.30	1.102	0.2705	-++-	0	0.4406	0.587492660550459	Peptide chain release factor 1-like, mitochondrial	RF1ML	MTRF1L	top1	0.084	-0.905	0.366	0.945287539936102	top1	0.091	0.331	0.741	0.984483660130719	enet	0.082	1.58	0.115	0.312680763983629	lasso	0.13	-0.708	0.479	0.953709468223087
seq.21533.51	1.102	0.2706	+?+?	0	0.9669	0.587492660550459	Lymphocyte-specific protein 1	LSP1	LSP1	enet	0.11	0.31	0.757	0.966509207365893	NA	NA	NA	NA	NA	enet	0.025	1.06	0.29	0.560048449612403	NA	NA	NA	NA	NA
seq.6626.81	1.101	0.271	??+?	0	1	0.587492660550459	Carbohydrate sulfotransferase 12	CHSTC	CHST12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.07	1.1	0.271	0.533698616600791	NA	NA	NA	NA	NA
seq.11112.18	1.101	0.271	+???	0	1	0.587492660550459	Protein kish-A	KISHA	TMEM167A	top1	0.024	1.1	0.271	0.885378881987578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.5060.62	-1.1	0.2712	?---	0	0.7126	0.587492660550459	Programmed cell death 1 ligand 1	B7-H1	CD274	NA	NA	NA	NA	NA	lasso	0.074	-0.748	0.454	0.944247557003257	lasso	0.055	-0.731	0.465	0.683440265486726	enet	0.1	-0.891	0.373	0.946113138686131
seq.23213.21	-1.1	0.2715	+-??	79.3	0.02811	0.587492660550459	Uncharacterized protein C11orf70	CK070	CFAP300	top1	0.031	0.933	0.351	0.941969387755102	top1	0.02	-2.27	0.0231	0.46124262295082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.10572.65	1.099	0.2719	+-+-	0	0.7628	0.587492660550459	Cystatin-8	CST8	CST8	lasso	0.55	0.33	0.742	0.966509207365893	enet	0.23	-0.415	0.678	0.97837019790454	lasso	0.27	1.39	0.166	0.3986	enet	0.35	-0.408	0.683	0.989177168272795
seq.21229.5	1.098	0.272	??+?	0	1	0.587492660550459	Transmembrane and immunoglobulin domain-containing protein 2	TMIG2	TMIGD2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.024	1.1	0.272	0.535139190523198	NA	NA	NA	NA	NA
seq.18874.66	-1.098	0.272	?-??	0	1	0.587492660550459	CCAAT/enhancer-binding protein alpha	CEBPA	CEBPA	NA	NA	NA	NA	NA	top1	0.1	-1.1	0.272	0.864482926829268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.23309.11	1.098	0.272	???+	0	1	0.587492660550459	Homologous-pairing protein 2 homolog	HOP2	PSMC3IP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.03	1.1	0.272	0.921247563352827
seq.3327.27	-1.098	0.272	???-	0	1	0.587492660550459	Netrin-4	NET4	NTN4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lasso	0.067	-1.1	0.272	0.921247563352827
seq.13740.51	1.097	0.2724	-+++	2.3	0.381	0.587492660550459	Secreted frizzled-related protein 3	sFRP-3	FRZB	enet	0.24	-1.26	0.207	0.822616541353383	blup	0.058	0.00896	0.993	0.995451851851852	enet	0.16	1.59	0.113	0.31020523415978	enet	0.13	0.412	0.68	0.989177168272795
seq.6342.10	-1.098	0.2724	+?-+	44.9	0.1628	0.587492660550459	Nephronectin	Nephronectin	NPNT	top1	0.34	1.27	0.204	0.817035532994924	NA	NA	NA	NA	NA	enet	0.078	-1.71	0.0868	0.260438646616541	blup	0.043	0.538	0.591	0.980107015457788
seq.3459.49	1.096	0.2729	+++-	0	0.9389	0.587654538520214	Platelet-derived growth factor receptor beta	PDGF Rb	PDGFRB	lasso	0.67	0.52	0.603	0.966509207365893	top1	0.7	0.595	0.552	0.960562747688243	lasso	0.65	0.922	0.356	0.602810535259133	lasso	0.64	-0.363	0.716	0.989177168272795
seq.18261.34	-1.096	0.273	?-??	0	1	0.587654538520214	Protein NATD1	NATD1	NATD1	NA	NA	NA	NA	NA	blup	0.036	-1.1	0.273	0.864482926829268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.7795.14	1.096	0.2731	+-+-	0	0.6831	0.587654538520214	NKG2-E type II integral membrane protein:Isoform H, Cytoplasmic domain	NKG2E:CD	KLRC3	lasso	0.49	0.554	0.579	0.966509207365893	lasso	0.18	-0.468	0.64	0.969860869565217	lasso	0.25	1.36	0.174	0.409423848878394	enet	0.22	-0.568	0.57	0.972831105710814
seq.3033.57	1.094	0.2738	+?++	0	0.507	0.588478217821782	Galectin-2	Galectin-2	LGALS2	enet	0.067	1.38	0.166	0.777498542274052	NA	NA	NA	NA	NA	enet	0.045	0.607	0.544	0.748234644582471	enet	0.023	0.519	0.604	0.986556991774383
seq.7227.75	-1.094	0.2739	?+--	0	0.5175	0.588478217821782	Cochlin	COCH	COCH	NA	NA	NA	NA	NA	blup	0.06	0.686	0.493	0.952464454976303	lasso	0.055	-1.42	0.156	0.382420664206642	enet	0.052	-0.178	0.858	0.989177168272795
seq.5713.9	-1.089	0.276	-???	0	1	0.592538812785388	Interferon lambda-3	IFN-lambda 3	IFNL3	top1	0.054	-1.09	0.276	0.893877300613497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.17391.10	1.087	0.277	?+??	0	1	0.592880880121396	Splicing factor 45	SPF45	RBM17	NA	NA	NA	NA	NA	top1	0.13	1.09	0.277	0.864482926829268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.5728.60	-1.087	0.277	----	0	0.6429	0.592880880121396	Fc receptor-like protein 1	FCRL1	FCRL1	lasso	0.041	-1.4	0.163	0.777498542274052	top1	0.1	-0.801	0.423	0.944247557003257	top1	0.091	-0.4	0.689	0.837813910921293	enet	0.073	-0.327	0.744	0.989177168272795
seq.24904.121	1.087	0.277	+???	0	1	0.592880880121396	Syntaxin-binding protein 4	STXB4	STXBP4	top1	0.043	1.09	0.277	0.893877300613497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.5256.86	-1.087	0.277	?-??	0	1	0.592880880121396	cGMP-specific 3',5'-cyclic phosphodiesterase	PDE5A	PDE5A	NA	NA	NA	NA	NA	enet	0.032	-1.09	0.277	0.864482926829268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.5618.50	1.084	0.2784	+?++	0	0.8014	0.595425625473844	Protein FAM3B	FAM3B	FAM3B	enet	0.31	0.645	0.519	0.966509207365893	NA	NA	NA	NA	NA	enet	0.12	0.794	0.427	0.654190839694657	enet	0.11	0.755	0.45	0.952054794520548
seq.20990.48	-1.083	0.279	???-	0	1	0.596256818181818	Thyrotroph embryonic factor	TEF	TEF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.014	-1.08	0.279	0.921247563352827
seq.4903.72	-1.08	0.28	??-?	0	1	0.59743836858006	Calcineurin	Calcineurin	PPP3CA|PPP3R1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lasso	0.013	-1.08	0.28	0.547098039215686	NA	NA	NA	NA	NA
seq.23272.8	-1.08	0.28	-???	0	1	0.59743836858006	Protein DPCD	DPCD	DPCD	top1	0.063	-1.08	0.28	0.89946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.15308.108	1.079	0.2804	++++	0	0.991	0.59743836858006	Brorin	VWC2	VWC2	top1	0.035	0.34	0.734	0.966509207365893	lasso	0.18	0.448	0.654	0.972615384615385	lasso	0.031	0.845	0.398	0.631539808917198	lasso	0.061	0.491	0.623	0.989038461538462
seq.8305.18	1.079	0.2804	??+-	0	0.3549	0.59743836858006	Extracellular sulfatase Sulf-2	SULF2	SULF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.049	1.24	0.214	0.464599128540305	top1	0.063	-0.691	0.49	0.953709468223087
seq.16605.2	1.078	0.2809	?+++	0	0.6987	0.598052	Complement C1q and tumor necrosis factor-related protein 9A	C1T9A	C1QTNF9	NA	NA	NA	NA	NA	enet	0.082	0.247	0.805	0.985826347305389	top1	0.079	0.871	0.384	0.620188006482982	top1	0.056	1.03	0.303	0.921247563352827
seq.3684.78	1.074	0.283	+???	0	1	0.600709556057186	Macrophage scavenger receptor types I and II:Extracellular domain	Macrophage scavenger receptor:ECD	MSR1	top1	0.041	1.07	0.283	0.89946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.6387.61	1.074	0.283	?+??	0	1	0.600709556057186	Defensin-5	HD-5	DEFA5	NA	NA	NA	NA	NA	blup	0.043	1.07	0.283	0.864482926829268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.2201.17	-1.074	0.283	??-?	0	1	0.600709556057186	Endostatin	Endostatin	COL18A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.034	-1.07	0.283	0.5497261208577	NA	NA	NA	NA	NA
seq.3320.49	1.074	0.283	?+++	51.1	0.1295	0.600709556057186	Insulin-like growth factor-binding protein 7	IGFBP-7	IGFBP7	NA	NA	NA	NA	NA	blup	0.028	2.15	0.0314	0.54636	top1	0.086	0.191	0.848	0.915527627302275	top1	0.027	0.757	0.449	0.952054794520548
seq.15503.20	1.072	0.2835	-+++	0	0.47	0.601318421052632	Left-right determination factor 2	Lefty-A	LEFTY2	lasso	0.44	-1.16	0.247	0.856628571428571	enet	0.19	0.332	0.74	0.984483660130719	enet	0.41	1.35	0.176	0.413154299175501	lasso	0.35	0.631	0.528	0.953709468223087
seq.19557.3	1.072	0.2839	+-+-	0	0.6283	0.601474474474474	Beta-klotho	KLOTB	KLB	enet	0.12	0.345	0.73	0.966509207365893	lasso	0.27	-0.764	0.445	0.944247557003257	enet	0.27	1.45	0.146	0.370672611464968	lasso	0.2	-0.268	0.789	0.989177168272795
seq.4981.6	1.071	0.284	+???	0	1	0.601474474474474	Desmocollin-3	DSC3	DSC3	blup	0.017	1.07	0.284	0.89946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.2900.53	-1.07	0.2846	++--	69.2	0.02082	0.60205299850075	C-C motif chemokine 14	HCC-1	CCL14	enet	0.37	1.66	0.0973	0.633797530864198	lasso	0.21	1.6	0.11	0.736153846153846	enet	0.22	-2.36	0.0182	0.0886860635696822	lasso	0.15	-0.118	0.906	0.989177168272795
seq.5128.53	-1.07	0.2847	-?--	0	0.5119	0.60205299850075	SLAM family member 6	SLAF6	SLAMF6	enet	0.025	-0.613	0.54	0.966509207365893	NA	NA	NA	NA	NA	lasso	0.027	-0.682	0.495	0.710760086455331	enet	0.091	-1.28	0.2	0.906975
seq.5457.5	-1.069	0.285	???-	0	1	0.60223595505618	Collectin-12	COLEC12	COLEC12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.02	-1.07	0.285	0.921247563352827
seq.5852.6	1.069	0.2853	??++	0	0.8741	0.602390052356021	Protein S100-A12	S100A12	S100A12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.023	1.01	0.31	0.57747703180212	lasso	0.026	0.369	0.712	0.989177168272795
seq.12731.12	-1.068	0.2855	?+-+	0	0.6805	0.602390052356021	Pleckstrin homology domain-containing family A member 7	PKHA7	PLEKHA7	NA	NA	NA	NA	NA	blup	0.076	0.242	0.809	0.985826347305389	top1	0.065	-1.32	0.186	0.42756401384083	enet	0.041	0.321	0.748	0.989177168272795
seq.24971.2	1.067	0.286	??+?	0	1	0.602849590469099	Phosphatidylinositide phosphatase SAC2	SAC2	INPP5F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.053	1.07	0.286	0.555012658227848	NA	NA	NA	NA	NA
seq.3389.7	-1.066	0.2864	+---	50.8	0.1069	0.602849590469099	Plasma serine protease inhibitor	PCI	SERPINA5	enet	0.088	1.56	0.119	0.705947368421053	top1	0.071	-1.96	0.0499	0.655646808510638	lasso	0.073	-0.911	0.362	0.605912060301508	top1	0.064	-0.358	0.72	0.989177168272795
seq.6404.20	-1.066	0.2866	-?--	44.5	0.1652	0.602849590469099	C1q-related factor	C1QRF	C1QL1	blup	0.011	-1.76	0.0789	0.604189189189189	NA	NA	NA	NA	NA	enet	0.014	-0.303	0.762	0.869093607305936	blup	0.066	-1.25	0.212	0.906975
seq.5078.82	-1.065	0.287	??-?	0	1	0.602849590469099	Ephrin type-B receptor 6	EphB6	EPHB6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lasso	0.034	-1.06	0.287	0.55587074829932	NA	NA	NA	NA	NA
seq.15558.63	-1.065	0.287	+?-?	84	0.01234	0.602849590469099	Glutamyl aminopeptidase	AMPE	ENPEP	lasso	0.045	2.04	0.0417	0.557649152542373	NA	NA	NA	NA	NA	enet	0.057	-1.8	0.0715	0.229837903225806	NA	NA	NA	NA	NA
seq.5443.62	1.065	0.287	?+??	0	1	0.602849590469099	Atrial natriuretic factor	ANP	NPPA	NA	NA	NA	NA	NA	top1	0.043	1.07	0.287	0.864482926829268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.8644.46	-1.062	0.2881	---+	0	0.8414	0.604709895833333	Cathepsin H	Cathepsin H	CTSH	lasso	0.34	-0.346	0.73	0.966509207365893	lasso	0.36	-0.756	0.449	0.944247557003257	enet	0.61	-0.934	0.35	0.597729220222794	enet	0.59	0.629	0.529	0.953709468223087
seq.23341.16	1.061	0.2886	+-+?	0	0.6381	0.605308996282528	Meiotic recombination protein DMC1/LIM15 homolog	DMC1	DMC1	lasso	0.13	0.255	0.798	0.968118384401114	lasso	0.33	-0.515	0.607	0.9614122236671	enet	0.11	1.3	0.193	0.435616081540204	NA	NA	NA	NA	NA
seq.23349.5	1.059	0.2895	-?++	48.9	0.1411	0.606745542347697	Choline-phosphate cytidylyltransferase A	PCY1A	PCYT1A	enet	0.16	-1.55	0.121	0.7101	NA	NA	NA	NA	NA	lasso	0.17	1.6	0.109	0.303403631284916	lasso	0.21	0.256	0.798	0.989177168272795
seq.7752.31	1.058	0.29	+???	0	1	0.606879335793358	C-type lectin domain family 4 member D	CLC4D	CLEC4D	top1	0.069	1.06	0.29	0.904387351778656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.9229.9	1.058	0.29	+???	0	1	0.606879335793358	Chymotrypsin-like protease CTRL-1	CTRL	CTRL	top1	0.061	1.06	0.29	0.904387351778656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.3324.51	-1.056	0.2908	+---	0	0.7908	0.606879335793358	T-lymphocyte surface antigen Ly-9	LY9	LY9	lasso	0.086	0.156	0.876	0.968118384401114	enet	0.18	-0.992	0.321	0.881339325842697	enet	0.12	-0.713	0.476	0.694994871794872	enet	0.1	-0.802	0.423	0.949429477020602
seq.5590.11	-1.056	0.291	?-??	0	1	0.606879335793358	Zona pellucida-like domain-containing protein 1	ZPLD1	ZPLD1	NA	NA	NA	NA	NA	blup	0.035	-1.06	0.291	0.864482926829268	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.12534.10	1.056	0.291	???+	0	1	0.606879335793358	Calcium-binding and coiled-coil domain-containing protein 2	CACO2	CALCOCO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.023	1.06	0.291	0.921247563352827
seq.17771.35	1.056	0.291	???+	0	1	0.606879335793358	DNA-directed RNA polymerase III subunit RPC9	RPC9	CRCP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.074	1.06	0.291	0.921247563352827
seq.21704.8	1.055	0.2914	+-+-	0	0.873	0.606879335793358	Protocadherin-12	PCD12	PCDH12	top1	0.45	0.219	0.826	0.968118384401114	lasso	0.59	-0.136	0.892	0.986247440273038	lasso	0.36	1.26	0.207	0.455354304635762	enet	0.32	-0.394	0.694	0.989177168272795
seq.12783.29	1.055	0.2914	+?++	32.4	0.228	0.606879335793358	Heterogeneous nuclear ribonucleoprotein M	HNRPM	HNRNPM	blup	0.073	1.7	0.0888	0.614589473684211	NA	NA	NA	NA	NA	top1	0.16	0.356	0.722	0.853467378410439	top1	0.19	1.02	0.306	0.921247563352827
seq.23148.100	-1.055	0.2915	??--	0	0.911	0.606879335793358	Endothelial cell-derived lipase	Endothelial lipase	LIPG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.056	-1.06	0.291	0.560892649903288	blup	0.036	-0.101	0.919	0.989177168272795
seq.12702.13	1.053	0.2924	--++	17.2	0.3054	0.608206769683591	E3 ubiquitin-protein ligase pellino homolog 2	PELI2	PELI2	top1	0.1	-0.857	0.391	0.953121725731895	enet	0.17	-0.848	0.396	0.926689265536723	top1	0.12	1.81	0.0704	0.227356796116505	enet	0.13	0.0123	0.99	0.997020968908171
seq.3323.37	-1.052	0.2926	+?-?	0	0.3194	0.608206769683591	Low-density lipoprotein receptor-related protein 8	LRP8	LRP8	top1	0.13	0.611	0.541	0.966509207365893	NA	NA	NA	NA	NA	blup	0.016	-1.31	0.189	0.430488	NA	NA	NA	NA	NA
seq.15619.49	1.052	0.293	??+?	0	1	0.608206769683591	Myelin-oligodendrocyte glycoprotein	MOG	MOG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.035	1.05	0.293	0.562029836381136	NA	NA	NA	NA	NA
seq.16749.79	1.052	0.293	+???	0	1	0.608206769683591	Growth/differentiation factor 10	BMP-3b	GDF10	top1	0.075	1.05	0.293	0.906576470588235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.11246.3	-1.051	0.2934	+--+	0	0.7811	0.60855664952241	BPI fold-containing family B member 1	LPLC1	BPIFB1	enet	0.15	0.222	0.824	0.968118384401114	blup	0.056	-0.557	0.578	0.960562747688243	top1	0.11	-1.19	0.234	0.490907368421053	enet	0.12	0.642	0.521	0.953709468223087
seq.7861.9	-1.05	0.2936	?---	0	0.9133	0.60855664952241	Tyrosine-protein kinase transmembrane receptor ROR2	ROR2	ROR2	NA	NA	NA	NA	NA	top1	0.055	-0.652	0.515	0.960562747688243	enet	0.032	-0.799	0.424	0.651528141865844	lasso	0.025	-0.471	0.638	0.989177168272795
seq.6965.19	-1.048	0.2947	----	0	0.5165	0.609873333333333	Contactin-associated protein-like 2	CNTP2	CNTNAP2	lasso	0.059	-1.72	0.0854	0.604310313901345	enet	0.22	-0.41	0.682	0.97837019790454	lasso	0.24	-0.402	0.687	0.836402565668907	lasso	0.16	-0.297	0.767	0.989177168272795
seq.24671.15	-1.047	0.295	-???	0	1	0.609873333333333	Apoptosis-associated speck-like protein containing a CARD	ASC	PYCARD	enet	0.034	-1.05	0.295	0.90919921875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.11656.110	-1.047	0.295	??-?	0	1	0.609873333333333	Ena/VASP-like protein	EVL	EVL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	top1	0.041	-1.05	0.295	0.564779058597502	NA	NA	NA	NA	NA
seq.13042.7	1.047	0.2951	+?++	38.8	0.195	0.609873333333333	Potassium voltage-gated channel subfamily A member 10	KCA10	KCNA10	top1	0.14	1.86	0.0634	0.604189189189189	NA	NA	NA	NA	NA	lasso	0.18	0.32	0.749	0.86386400462963	lasso	0.18	0.903	0.366	0.940369685767098
seq.8219.14	1.046	0.2957	+-?+	72.7	0.0257	0.609945945945946	Zymogen granule membrane protein 16	ZG16	ZG16	enet	0.65	1.69	0.0916	0.628455652173913	lasso	0.42	-1.09	0.275	0.864482926829268	NA	NA	NA	NA	NA	top1	0.21	2.09	0.0364	0.761604166666667
seq.10647.18	1.045	0.296	?+??	0	1	0.609945945945946	Activating signal cointegrator 1 complex subunit 1	ASCC1	ASCC1	NA	NA	NA	NA	NA	top1	0.15	1.05	0.296	0.864575539568345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.18382.109	-1.045	0.296	?-??	0	1	0.609945945945946	Catechol O-methyltransferase	Catechol O-methyltransferase	COMT	NA	NA	NA	NA	NA	top1	0.11	-1.05	0.296	0.864575539568345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.17344.23	1.045	0.296	?+??	0	1	0.609945945945946	Stomatin-like protein 1	STML1	STOML1	NA	NA	NA	NA	NA	top1	0.17	1.05	0.296	0.864575539568345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.2750.3	-1.044	0.2963	+--?	0	0.5446	0.610118467153285	Apolipoprotein A-I	Apo A-I	APOA1	enet	0.17	0.706	0.48	0.966509207365893	top1	0.1	-0.206	0.837	0.986247440273038	enet	0.073	-1.33	0.184	0.424926998841251	NA	NA	NA	NA	NA
seq.4342.10	1.044	0.2966	--+-	81.1	0.001207	0.61022359796067	Intercellular adhesion molecule 1	sICAM-1	ICAM1	enet	0.54	-2.35	0.0189	0.458833846153846	lasso	0.56	-1.68	0.0927	0.724930120481928	lasso	0.72	2.8	0.00513	0.055159797979798	enet	0.68	-0.887	0.375	0.946811594202899
seq.15386.7	1.043	0.297	+???	0	1	0.61022359796067	Fatty acid-binding protein, adipocyte	FABPA	FABP4	enet	0.036	1.04	0.297	0.910031067961165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.11160.56	1.043	0.297	??+?	0	1	0.61022359796067	RING finger protein 122	RN122	RNF122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	enet	0.14	1.04	0.297	0.568062380038388	NA	NA	NA	NA	NA
seq.7926.13	1.041	0.2978	--++	0	0.8875	0.611387636363636	Kunitz-type protease inhibitor 3	SPIT3	SPINT3	top1	0.37	-0.0687	0.945	0.980806833114323	enet	0.18	-0.131	0.895	0.986247440273038	top1	0.34	1.13	0.26	0.52078391959799	enet	0.31	0.658	0.511	0.953709468223087
seq.20203.45	1.041	0.298	+-++	0	0.9586	0.611387636363636	Complement C1s subcomponent	C1s	C1S	top1	0.23	0.0876	0.93	0.979412	enet	0.3	-0.0927	0.926	0.986247440273038	enet	0.3	1.13	0.26	0.52078391959799	top1	0.24	0.325	0.745	0.989177168272795
seq.11390.24	-1.04	0.2984	-?-?	75.5	0.0433	0.611763372093023	Carbonic anhydrase-related protein	Carbonic Anhydrase VIII	CA8	blup	0.017	-2.25	0.0247	0.492185714285714	NA	NA	NA	NA	NA	enet	0.021	-0.347	0.729	0.857672373081464	NA	NA	NA	NA	NA
seq.24901.4	1.039	0.2988	?+++	0	0.6069	0.612103773584906	Villin-1	VILI	VIL1	NA	NA	NA	NA	NA	enet	0.038	0.721	0.471	0.944247557003257	top1	0.039	0.638	0.524	0.73183742116328	top1	0.047	1.07	0.283	0.921247563352827
seq.12497.29	-1.039	0.299	?-??	0	1	0.612103773584906	Tudor-interacting repair regulator protein	SDOS	NUDT16L1	NA	NA	NA	NA	NA	top1	0.02	-1.04	0.299	0.8671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
seq.24646.47	1.036	0.3001	++??	0	0.8718	0.613633888486604	Serine--pyruvate aminotransferase	SPYA	AGXT	lasso	0.037	0.559	0.576	0.966509207365893	top1	0.029	0.888	0.375	0.9135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
